CategoryID,CategoryName,CategoryDescription
100000,Electronics,Discover the latest gadgets and devices; from smartphones to laptops and everything in between.
100001,Clothing & Apparel,Fashionable and trendy clothing for all seasons; styles; and occasions.
100002,Home Appliances,Upgrade your home with modern appliances designed to make life easier and more comfortable.
100003,Books & Stationery,Browse an extensive collection of books; notebooks; and office essentials.
100004,Health & Beauty,Premium health and beauty products for skincare; wellness; and personal care.
100005,Sports & Outdoors,Gear up for your next adventure with top-notch sports and outdoor equipment.
100006,Toys & Games,Fun and exciting toys and games for kids of all ages.
100007,Furniture,Stylish and functional furniture to beautify every corner of your home.
100008,Grocery & Essentials,All your daily essentials delivered right to your doorstep.
100009,Jewelry & Accessories,Dazzling jewelry and chic accessories for every occasion.
100010,Automotive,Explore a wide range of automotive accessories and tools.
100011,Pet Supplies,Treat your furry friends with the best pet food; toys; and accessories.
100012,Baby Products,Safe and trusted products for your little ones; from diapers to toys.
100013,Music & Entertainment,Unleash your creativity with instruments and entertainment products.
100014,Office Supplies,Everything you need for your workspace; from desks to pens.
100015,Garden & Outdoors,Transform your garden with tools; decor; and outdoor furniture.
100016,Art & Craft Supplies,Get creative with high-quality art and craft materials.
100017,Footwear,Comfortable and stylish footwear for every walk of life.
100018,Travel & Luggage,Durable and stylish luggage for all your travel needs.
100019,Fitness Equipment,Stay fit and active with our range of exercise and fitness gear.
